Name,Email,Age,City,Purchase_Amount
Paul159,paul159@yahoo.com,30,Phoenix,484.51
Sam754,sam754@outlook.com,52,New York,33.3
Sam489,sam489@mail.com,50,Miami,82.93
Quinn83,quinn83@mail.com,29,Los Angeles,38.64
Hank414,hank414@mail.com,25,Miami,126.88
Tina41,tina41@hotmail.com,57,Los Angeles,330.4
Sam536,sam536@outlook.com,38,Miami,106.11
Karen245,karen245@yahoo.com,34,Dallas,337.49
Jack469,jack469@gmail.com,38,Miami,9.61
Tina577,tina577@mail.com,24,Los Angeles,110.51
Iris136,iris136@gmail.com,40,Miami,440.24
Leo292,leo292@mail.com,28,San Diego,353.25
Tina827,tina827@gmail.com,59,New York,335.59
Rose307,rose307@yahoo.com,60,Los Angeles,135.91
David761,david761@outlook.com,53,Chicago,144.47
Grace735,grace735@outlook.com,39,Houston,255.18
Iris928,iris928@hotmail.com,21,Los Angeles,415.53
Bob4,bob4@yahoo.com,39,Boston,320.37
Iris166,iris166@mail.com,65,San Diego,354.31
Rose10,rose10@yahoo.com,25,Los Angeles,275.07
Leo597,leo597@hotmail.com,53,Chicago,68.09
Jack374,jack374@outlook.com,20,Miami,108.99
Hank683,hank683@mail.com,24,New York,442.65
Ned998,ned998@yahoo.com,57,Seattle,463.25
Hank886,hank886@yahoo.com,28,Boston,441.3
Alice184,alice184@outlook.com,65,Miami,392.28
Ned822,ned822@yahoo.com,60,Denver,137.07
David392,david392@hotmail.com,20,Denver,115.1
Olive359,olive359@yahoo.com,37,Denver,115.35
Grace409,grace409@gmail.com,39,Phoenix,483.61
Iris360,iris360@hotmail.com,59,New York,341.36
Rose340,rose340@outlook.com,19,Los Angeles,93.39
Iris40,iris40@hotmail.com,24,Austin,176.12
Karen447,karen447@gmail.com,56,New York,195.67
Sam195,sam195@hotmail.com,34,New York,5.84
Rose704,rose704@yahoo.com,64,Seattle,185.29
Carol972,carol972@outlook.com,60,Miami,313.46
David738,david738@outlook.com,37,New York,335.11
Karen413,karen413@mail.com,62,Phoenix,68.01
Ned681,ned681@yahoo.com,42,New York,309.68
Jack416,jack416@gmail.com,53,Denver,155.42
Grace441,grace441@outlook.com,55,Austin,235.17
Olive692,olive692@hotmail.com,31,New York,397.9
Frank675,frank675@mail.com,23,Phoenix,333.61
Tina344,tina344@yahoo.com,23,Denver,338.03
Hank826,hank826@gmail.com,30,Chicago,27.88
Paul626,paul626@hotmail.com,22,San Diego,443.64
Sam200,sam200@hotmail.com,63,Seattle,249.72
Hank152,hank152@gmail.com,59,Seattle,446.87
David798,david798@yahoo.com,45,Houston,403.03
Quinn476,quinn476@yahoo.com,21,New York,459.15
David468,david468@hotmail.com,26,Boston,335.45
Rose610,rose610@hotmail.com,38,Boston,308.26
Quinn437,quinn437@yahoo.com,53,San Diego,373.11
Paul461,paul461@yahoo.com,34,Boston,420.73
Iris785,iris785@yahoo.com,51,San Diego,140.93
Carol731,carol731@outlook.com,36,Houston,171.24
Rose83,rose83@yahoo.com,26,Chicago,194.6
Eve724,eve724@hotmail.com,31,Los Angeles,206.76
Rose478,rose478@yahoo.com,44,New York,417.28
Mona927,mona927@gmail.com,55,Seattle,429.08
Sam390,sam390@outlook.com,48,New York,152.81
Mona874,mona874@mail.com,44,New York,400.93
Hank500,hank500@hotmail.com,32,Phoenix,245.39
Mona345,mona345@hotmail.com,60,New York,363.47
Olive942,olive942@mail.com,26,Austin,18.35
Mona607,mona607@gmail.com,54,New York,46.55
Ned139,ned139@gmail.com,47,Chicago,133.78
Karen217,karen217@outlook.com,47,New York,381.81
Mona285,mona285@gmail.com,44,Phoenix,237.8
Rose54,rose54@gmail.com,40,Houston,391.71
Bob773,bob773@yahoo.com,19,Houston,420.42
Tina157,tina157@hotmail.com,33,Chicago,336.38
Sam971,sam971@outlook.com,31,San Diego,384.61
Frank621,frank621@gmail.com,56,Seattle,390.01
Frank988,frank988@mail.com,37,Los Angeles,17.71
Jack590,jack590@hotmail.com,61,Miami,201.34
Grace78,grace78@yahoo.com,55,Seattle,55.44
Jack871,jack871@gmail.com,61,Austin,399.13
Sam802,sam802@mail.com,20,New York,217.05
Leo71,leo71@outlook.com,50,New York,11.26
Ned843,ned843@hotmail.com,49,Los Angeles,480.59
Olive725,olive725@yahoo.com,27,Dallas,368.23
Iris631,iris631@hotmail.com,52,Boston,235.11
Sam275,sam275@yahoo.com,38,Denver,416.21
Carol286,carol286@hotmail.com,46,Houston,287.08
Mona345,mona345@outlook.com,19,San Diego,95.01
Grace364,grace364@outlook.com,34,New York,440.76
Iris570,iris570@yahoo.com,18,New York,47.38
Ned501,ned501@yahoo.com,53,Boston,346.85
Paul459,paul459@outlook.com,19,Los Angeles,114.69
Hank314,hank314@outlook.com,60,Austin,239.26
Quinn353,quinn353@mail.com,45,Seattle,168.74
Olive278,olive278@yahoo.com,37,Phoenix,64.72
Grace324,grace324@mail.com,25,Seattle,475.68
Frank197,frank197@hotmail.com,31,Seattle,141.87
Sam779,sam779@outlook.com,51,Austin,490.35
Grace304,grace304@yahoo.com,32,New York,154.62
Rose130,rose130@gmail.com,35,New York,278.91
Eve654,eve654@gmail.com,49,Los Angeles,289.16
Paul491,paul491@yahoo.com,46,New York,482.92
Iris964,iris964@gmail.com,48,Los Angeles,203.35
Carol591,carol591@gmail.com,58,New York,80.1
Sam972,sam972@yahoo.com,37,Los Angeles,63.63
Ned621,ned621@mail.com,56,Boston,116.72
Quinn390,quinn390@hotmail.com,46,Miami,152.19
Sam440,sam440@mail.com,37,Austin,34.81
David971,david971@yahoo.com,31,New York,136.0
Carol161,carol161@mail.com,33,Chicago,42.16
Alice419,alice419@mail.com,46,Seattle,237.61
Bob238,bob238@outlook.com,36,Seattle,352.98
Olive73,olive73@outlook.com,61,Houston,394.97
Sam678,sam678@gmail.com,30,Dallas,274.56
Eve931,eve931@yahoo.com,35,Denver,40.35
Frank812,frank812@mail.com,37,Austin,460.99
Olive128,olive128@outlook.com,47,Seattle,351.37
Iris513,iris513@hotmail.com,52,San Diego,44.82
Bob911,bob911@outlook.com,45,Seattle,303.84
Alice94,alice94@mail.com,32,New York,295.63
Alice784,alice784@outlook.com,61,Denver,290.24
Frank482,frank482@hotmail.com,51,New York,458.46
Frank600,frank600@hotmail.com,45,New York,484.68
Paul357,paul357@outlook.com,44,New York,336.72
Frank338,frank338@hotmail.com,44,Seattle,147.67
Mona834,mona834@hotmail.com,53,New York,48.59
Iris332,iris332@hotmail.com,25,Boston,433.13
Alice674,alice674@hotmail.com,52,San Diego,31.83
Quinn371,quinn371@hotmail.com,57,Boston,314.58
Bob209,bob209@yahoo.com,35,New York,464.2
Olive902,olive902@gmail.com,62,San Diego,19.29
Tina819,tina819@yahoo.com,33,Seattle,158.82
Alice566,alice566@yahoo.com,44,Los Angeles,496.17
David473,david473@yahoo.com,25,New York,251.7
Jack522,jack522@hotmail.com,63,Phoenix,418.19
Paul250,paul250@yahoo.com,47,New York,194.88
Tina521,tina521@yahoo.com,65,Miami,432.69
Iris792,iris792@mail.com,44,New York,137.25
Alice290,alice290@mail.com,64,Phoenix,292.06
Paul887,paul887@mail.com,27,San Diego,244.75
Karen566,karen566@hotmail.com,52,Dallas,466.76
Grace715,grace715@hotmail.com,33,Austin,120.61
Ned45,ned45@hotmail.com,38,Seattle,354.09
Mona396,mona396@yahoo.com,60,Boston,250.19
Bob130,bob130@outlook.com,50,Austin,435.5
Olive103,olive103@hotmail.com,51,Miami,12.6
Eve420,eve420@gmail.com,59,Chicago,237.4
Iris347,iris347@hotmail.com,57,Seattle,326.67
Karen873,karen873@mail.com,61,Denver,193.1
Karen642,karen642@hotmail.com,63,Miami,436.83
Bob633,bob633@outlook.com,22,Houston,498.73
Carol445,carol445@gmail.com,24,Boston,224.62
Jack926,jack926@outlook.com,19,New York,399.09
Jack368,jack368@yahoo.com,41,Dallas,125.88
Ned580,ned580@yahoo.com,61,Boston,89.14
Carol625,carol625@yahoo.com,42,Austin,251.35
Sam147,sam147@outlook.com,32,San Diego,232.49
Alice921,alice921@outlook.com,47,Miami,340.42
Frank76,frank76@mail.com,46,New York,153.08
Ned707,ned707@outlook.com,34,San Diego,103.61
Mona874,mona874@yahoo.com,48,Los Angeles,193.78
Leo589,leo589@outlook.com,36,Seattle,15.86
Mona282,mona282@gmail.com,18,Austin,455.76
Paul853,paul853@yahoo.com,36,Boston,305.5
Leo225,leo225@mail.com,58,Houston,129.06
Eve644,eve644@gmail.com,24,Miami,157.92
Olive35,olive35@yahoo.com,55,New York,49.62
Jack335,jack335@yahoo.com,65,Dallas,104.39
Rose898,rose898@mail.com,41,New York,457.18
Frank264,frank264@outlook.com,48,Boston,374.55
Karen824,karen824@gmail.com,25,San Diego,74.67
Hank881,hank881@hotmail.com,61,Seattle,483.8
Rose375,rose375@hotmail.com,23,Boston,11.89
Rose127,rose127@outlook.com,47,New York,294.36
Leo111,leo111@hotmail.com,61,Houston,17.39
Rose336,rose336@gmail.com,57,Houston,319.52
Olive932,olive932@hotmail.com,62,Phoenix,62.75
Bob969,bob969@hotmail.com,20,Phoenix,62.48
Hank909,hank909@hotmail.com,52,Chicago,229.55
Rose430,rose430@yahoo.com,55,Seattle,443.28
David854,david854@hotmail.com,49,Austin,469.83
Iris34,iris34@yahoo.com,62,New York,224.47
Hank876,hank876@outlook.com,41,Los Angeles,274.51
Leo63,leo63@yahoo.com,43,Phoenix,484.26
Olive94,olive94@mail.com,60,Houston,485.69
Bob806,bob806@yahoo.com,39,Houston,394.55
Grace71,grace71@mail.com,53,Houston,111.9
Hank337,hank337@mail.com,27,Boston,6.4
Eve134,eve134@yahoo.com,52,Phoenix,59.41
Alice135,alice135@yahoo.com,18,New York,296.48
Alice179,alice179@yahoo.com,34,New York,372.15
Quinn117,quinn117@hotmail.com,65,Los Angeles,226.9
Leo526,leo526@hotmail.com,55,Los Angeles,254.4
Tina45,tina45@mail.com,64,Boston,154.31
Alice63,alice63@hotmail.com,48,Denver,216.01
David503,david503@hotmail.com,63,Miami,41.38
Carol330,carol330@gmail.com,56,Chicago,67.46
Tina649,tina649@outlook.com,55,New York,193.55
Tina544,tina544@mail.com,36,San Diego,304.69
David813,david813@mail.com,62,Los Angeles,361.82
Grace441,grace441@yahoo.com,46,Miami,209.84
Olive409,olive409@gmail.com,44,Seattle,159.71
Karen682,karen682@yahoo.com,34,New York,344.98
Paul69,paul69@gmail.com,23,Denver,51.15
David763,david763@yahoo.com,65,New York,280.4
Sam980,sam980@outlook.com,53,New York,336.66
Ned363,ned363@hotmail.com,60,Boston,434.71
Bob992,bob992@outlook.com,36,Austin,179.06
Sam520,sam520@hotmail.com,31,Chicago,116.0
David359,david359@gmail.com,53,New York,382.49
Sam232,sam232@mail.com,45,Denver,487.4
Tina629,tina629@mail.com,61,New York,18.0
Iris30,iris30@outlook.com,29,Phoenix,461.16
Leo7,leo7@yahoo.com,29,Denver,285.33
Mona72,mona72@gmail.com,27,Seattle,50.42
Quinn221,quinn221@hotmail.com,42,Dallas,173.74
Leo320,leo320@mail.com,64,New York,300.13
Bob160,bob160@mail.com,28,Boston,29.63
Carol279,carol279@hotmail.com,46,New York,245.4
Olive425,olive425@mail.com,35,Houston,61.34
Ned114,ned114@mail.com,36,New York,245.88
Jack47,jack47@mail.com,32,Dallas,32.12
Grace309,grace309@yahoo.com,31,Boston,383.26
Jack336,jack336@hotmail.com,25,New York,374.77
Frank133,frank133@yahoo.com,42,New York,252.63
Leo74,leo74@gmail.com,43,Denver,220.93
Olive944,olive944@outlook.com,22,Denver,290.0
Sam415,sam415@hotmail.com,63,New York,148.31
Mona22,mona22@mail.com,38,Chicago,232.75
Leo91,leo91@gmail.com,45,Denver,125.44
Sam411,sam411@hotmail.com,51,Los Angeles,435.91
Karen227,karen227@yahoo.com,39,Boston,42.81
David544,david544@outlook.com,50,Houston,178.79
Eve242,eve242@outlook.com,24,Chicago,102.65
Tina157,tina157@yahoo.com,59,Los Angeles,475.89
Paul476,paul476@mail.com,54,Boston,227.21
Sam659,sam659@outlook.com,58,Austin,432.8
Karen155,karen155@hotmail.com,46,Los Angeles,223.89
Jack816,jack816@gmail.com,35,Austin,179.21
Carol318,carol318@gmail.com,47,San Diego,33.16
Jack79,jack79@gmail.com,59,Denver,309.43
Quinn394,quinn394@mail.com,47,Austin,477.34
Bob461,bob461@yahoo.com,54,New York,164.16
Paul514,paul514@hotmail.com,27,New York,56.23
Karen732,karen732@yahoo.com,23,New York,24.38
Olive450,olive450@mail.com,51,New York,83.58
Leo940,leo940@hotmail.com,36,Dallas,388.36
Tina54,tina54@outlook.com,58,New York,37.63
David572,david572@outlook.com,61,Dallas,129.74
Tina895,tina895@gmail.com,27,New York,293.46
Eve939,eve939@hotmail.com,40,Phoenix,68.83
Carol318,carol318@outlook.com,53,Dallas,407.53
Quinn96,quinn96@hotmail.com,59,New York,256.7
Alice372,alice372@yahoo.com,37,Chicago,174.16
Paul197,paul197@yahoo.com,32,Chicago,43.2
David520,david520@mail.com,52,Denver,23.69
Karen898,karen898@mail.com,57,Chicago,191.48
Frank186,frank186@mail.com,62,Boston,405.48
Frank739,frank739@hotmail.com,46,New York,185.33
Hank993,hank993@outlook.com,46,Austin,377.43
Olive240,olive240@outlook.com,52,Houston,482.97
Paul926,paul926@mail.com,30,New York,492.3
Olive788,olive788@hotmail.com,36,Boston,253.94
Ned990,ned990@yahoo.com,28,Denver,401.62
Eve894,eve894@hotmail.com,34,New York,437.69
Rose957,rose957@mail.com,24,Seattle,426.33
Jack86,jack86@hotmail.com,28,Phoenix,453.13
Eve851,eve851@yahoo.com,45,Los Angeles,409.27
Leo953,leo953@gmail.com,19,Dallas,201.24
Leo242,leo242@outlook.com,42,Los Angeles,116.15
Karen954,karen954@outlook.com,24,Denver,396.73
Eve40,eve40@hotmail.com,36,Miami,349.56
Eve778,eve778@hotmail.com,63,San Diego,309.6
Carol20,carol20@yahoo.com,34,Houston,276.66
Tina541,tina541@outlook.com,45,Los Angeles,122.63
David49,david49@mail.com,33,Dallas,231.27
David857,david857@mail.com,49,Austin,13.14
Quinn589,quinn589@yahoo.com,33,Seattle,149.18
Alice630,alice630@mail.com,40,Houston,211.2
Carol537,carol537@mail.com,41,Los Angeles,274.32
Quinn568,quinn568@hotmail.com,19,Dallas,26.55
Mona383,mona383@gmail.com,34,Seattle,181.76
Carol354,carol354@gmail.com,33,Seattle,386.89
Karen137,karen137@mail.com,20,New York,172.58
Frank851,frank851@hotmail.com,61,San Diego,317.71
Eve65,eve65@hotmail.com,63,Boston,23.31
Grace45,grace45@gmail.com,30,Miami,161.22
Jack528,jack528@mail.com,43,Denver,239.33
Bob772,bob772@outlook.com,59,Houston,181.7
Bob887,bob887@outlook.com,59,New York,66.62
Leo448,leo448@hotmail.com,43,Seattle,447.85
Mona348,mona348@hotmail.com,29,San Diego,186.84
Quinn274,quinn274@hotmail.com,23,Seattle,44.07
Tina843,tina843@outlook.com,29,New York,164.0
Carol336,carol336@outlook.com,60,Phoenix,225.73
Ned171,ned171@outlook.com,62,San Diego,226.33
Leo630,leo630@gmail.com,45,Phoenix,42.15
Mona373,mona373@yahoo.com,50,Boston,476.63
Eve870,eve870@hotmail.com,56,New York,22.23
Carol242,carol242@outlook.com,59,New York,194.51
Sam34,sam34@hotmail.com,56,Chicago,474.67
Leo455,leo455@yahoo.com,22,Austin,267.08
Mona322,mona322@yahoo.com,59,Phoenix,480.46
Alice754,alice754@mail.com,29,San Diego,196.56
Rose121,rose121@outlook.com,34,Boston,353.5
Grace627,grace627@hotmail.com,36,Seattle,104.09
Eve874,eve874@yahoo.com,22,San Diego,449.85
Olive90,olive90@outlook.com,61,Denver,335.58
Carol564,carol564@outlook.com,52,Phoenix,426.42
Frank813,frank813@yahoo.com,41,New York,65.07
Grace812,grace812@hotmail.com,26,Houston,18.01
Rose587,rose587@mail.com,41,San Diego,69.24
Carol68,carol68@hotmail.com,37,Dallas,265.22
Ned844,ned844@yahoo.com,54,Los Angeles,486.33
Carol461,carol461@mail.com,47,New York,175.53
Rose656,rose656@yahoo.com,55,Chicago,219.15
Bob852,bob852@yahoo.com,25,New York,155.54
Frank331,frank331@outlook.com,63,Houston,474.0
Quinn917,quinn917@gmail.com,36,Denver,129.05
Rose282,rose282@outlook.com,26,New York,309.14
Carol515,carol515@mail.com,59,Chicago,471.1
Eve176,eve176@mail.com,60,Austin,172.12
Sam43,sam43@gmail.com,19,Los Angeles,474.53
Sam272,sam272@mail.com,59,Houston,211.21
Alice510,alice510@outlook.com,58,New York,322.74
Jack495,jack495@hotmail.com,33,Boston,152.23
Carol706,carol706@hotmail.com,21,Chicago,210.73
Olive209,olive209@yahoo.com,39,Austin,159.73
Karen752,karen752@yahoo.com,40,Dallas,381.53
Quinn576,quinn576@yahoo.com,24,New York,235.9
Iris461,iris461@gmail.com,33,Chicago,30.05
Mona885,mona885@yahoo.com,57,Dallas,481.53
Frank834,frank834@mail.com,38,Miami,361.96
Grace782,grace782@mail.com,28,San Diego,236.07
Jack510,jack510@hotmail.com,19,Los Angeles,255.2
Hank221,hank221@gmail.com,55,New York,30.02
Paul612,paul612@hotmail.com,59,New York,146.45
Alice868,alice868@yahoo.com,24,Dallas,441.82
Leo783,leo783@gmail.com,43,New York,203.29
Sam576,sam576@mail.com,30,New York,147.86
Mona517,mona517@mail.com,46,Boston,143.46
Tina697,tina697@yahoo.com,57,Los Angeles,487.67
Mona383,mona383@outlook.com,39,New York,378.71
Grace617,grace617@mail.com,50,Dallas,24.93
Bob141,bob141@hotmail.com,63,New York,262.07
Eve621,eve621@outlook.com,50,Chicago,466.03
Karen167,karen167@outlook.com,43,Austin,298.89
Quinn849,quinn849@hotmail.com,50,New York,355.83
Jack487,jack487@outlook.com,19,New York,338.53
Ned598,ned598@gmail.com,37,Boston,300.47
Iris991,iris991@mail.com,59,Boston,290.93
Bob598,bob598@mail.com,48,Chicago,316.37
Tina794,tina794@yahoo.com,42,Chicago,20.63
David196,david196@outlook.com,19,San Diego,212.3
Ned708,ned708@mail.com,31,Dallas,388.61
Paul894,paul894@gmail.com,65,Seattle,354.36
Quinn213,quinn213@hotmail.com,53,New York,265.11
Karen980,karen980@mail.com,29,San Diego,174.45
Leo693,leo693@outlook.com,64,New York,306.99
Grace981,grace981@mail.com,33,Phoenix,152.76
Jack790,jack790@yahoo.com,36,Seattle,346.67
Paul325,paul325@mail.com,48,New York,467.18
Iris295,iris295@mail.com,25,Austin,192.95
Mona839,mona839@yahoo.com,40,Boston,148.77
Jack979,jack979@outlook.com,63,Los Angeles,462.38
Iris766,iris766@yahoo.com,48,Houston,414.84
Iris956,iris956@outlook.com,53,Seattle,72.95
Tina759,tina759@yahoo.com,55,Houston,30.13
Quinn232,quinn232@gmail.com,58,Houston,54.6
Karen735,karen735@yahoo.com,48,Los Angeles,7.56
Rose952,rose952@hotmail.com,28,Dallas,241.34
Grace775,grace775@outlook.com,36,New York,324.72
Carol668,carol668@mail.com,54,Houston,370.65
Bob936,bob936@yahoo.com,29,Dallas,467.29
Bob857,bob857@hotmail.com,43,Boston,97.22
Jack898,jack898@outlook.com,20,New York,286.14
David951,david951@hotmail.com,39,Phoenix,494.6
Rose537,rose537@yahoo.com,49,Miami,426.27
Olive280,olive280@gmail.com,30,Boston,168.69
Olive664,olive664@yahoo.com,34,Seattle,11.97
Karen810,karen810@yahoo.com,36,Austin,91.87
Mona847,mona847@outlook.com,45,New York,47.94
David190,david190@outlook.com,26,San Diego,468.23
Alice268,alice268@hotmail.com,42,Houston,378.11
Karen310,karen310@mail.com,55,Seattle,10.66
Leo710,leo710@gmail.com,33,New York,235.37
Frank416,frank416@outlook.com,61,New York,346.69
Jack377,jack377@yahoo.com,57,Houston,478.89
Paul157,paul157@mail.com,47,Seattle,189.94
Rose935,rose935@mail.com,48,Boston,401.99
Grace781,grace781@mail.com,33,New York,437.2
Carol539,carol539@outlook.com,46,New York,43.66
Sam115,sam115@mail.com,21,Denver,451.93
Grace587,grace587@yahoo.com,52,Chicago,167.42
Quinn453,quinn453@yahoo.com,25,New York,359.87
Paul94,paul94@gmail.com,50,San Diego,229.45
Quinn426,quinn426@gmail.com,47,Austin,281.6
Jack741,jack741@outlook.com,19,Dallas,409.14
Grace593,grace593@hotmail.com,22,New York,175.54
Carol555,carol555@gmail.com,21,Miami,493.14
Paul33,paul33@yahoo.com,36,Dallas,385.64
Ned384,ned384@hotmail.com,42,San Diego,190.94
Rose137,rose137@outlook.com,59,Denver,63.72
Rose403,rose403@yahoo.com,51,Chicago,418.24
Alice306,alice306@mail.com,47,New York,214.94
Mona844,mona844@hotmail.com,32,Houston,176.35
Iris194,iris194@gmail.com,64,Boston,20.95
Ned630,ned630@yahoo.com,19,Houston,38.31
Tina35,tina35@gmail.com,46,Austin,126.14
Bob412,bob412@mail.com,46,Houston,112.55
Bob144,bob144@yahoo.com,50,Phoenix,408.81
Sam327,sam327@outlook.com,54,Austin,122.27
Eve677,eve677@hotmail.com,51,Houston,153.75
Bob571,bob571@yahoo.com,55,Miami,314.87
Ned570,ned570@outlook.com,49,New York,471.09
Mona805,mona805@hotmail.com,51,New York,207.09
Jack386,jack386@mail.com,29,Boston,239.39
Hank308,hank308@hotmail.com,63,Chicago,457.8
Rose423,rose423@mail.com,44,New York,71.38
Hank262,hank262@gmail.com,31,New York,461.5
Leo95,leo95@yahoo.com,52,Seattle,30.51
Mona690,mona690@gmail.com,56,Austin,437.44
Grace824,grace824@mail.com,55,Seattle,112.42
Grace891,grace891@gmail.com,39,Phoenix,109.84
Grace986,grace986@hotmail.com,65,Los Angeles,457.65
Tina721,tina721@yahoo.com,31,Dallas,278.28
Jack390,jack390@outlook.com,47,New York,157.67
Leo526,leo526@gmail.com,49,San Diego,402.39
Paul780,paul780@yahoo.com,38,Miami,188.5
Ned47,ned47@yahoo.com,54,Denver,371.92
Alice268,alice268@mail.com,53,Miami,291.68
Ned303,ned303@outlook.com,27,Houston,118.86
Sam854,sam854@mail.com,33,San Diego,329.03
Karen264,karen264@hotmail.com,49,Seattle,233.11
Leo174,leo174@mail.com,26,Seattle,246.72
Rose658,rose658@gmail.com,21,New York,420.34
Carol968,carol968@gmail.com,60,New York,209.13
Hank70,hank70@gmail.com,63,Chicago,113.27
Olive383,olive383@mail.com,21,Austin,456.81
Paul17,paul17@mail.com,18,New York,208.61
Alice543,alice543@mail.com,64,Phoenix,488.85
Alice515,alice515@hotmail.com,62,New York,404.05
Frank110,frank110@yahoo.com,24,New York,124.28
Tina540,tina540@outlook.com,34,Denver,137.33
Mona81,mona81@hotmail.com,41,Dallas,284.68
Hank308,hank308@gmail.com,61,Denver,328.6
Bob96,bob96@hotmail.com,43,Dallas,278.59
Bob653,bob653@yahoo.com,18,Seattle,45.93
Ned661,ned661@gmail.com,39,Austin,447.92
Bob236,bob236@mail.com,31,Miami,240.37
Bob947,bob947@outlook.com,22,New York,450.16
Sam674,sam674@outlook.com,20,Chicago,12.75
Grace602,grace602@hotmail.com,27,Boston,464.79
Jack167,jack167@mail.com,54,Houston,418.15
Mona694,mona694@hotmail.com,52,New York,379.03
Eve810,eve810@gmail.com,62,Seattle,252.89
Leo55,leo55@yahoo.com,24,Dallas,420.14
Karen620,karen620@hotmail.com,57,Austin,484.62
Karen31,karen31@hotmail.com,58,Phoenix,247.85
Leo567,leo567@yahoo.com,42,Dallas,341.45
Mona88,mona88@yahoo.com,57,Phoenix,357.99
Carol275,carol275@yahoo.com,27,Dallas,371.13
Karen370,karen370@gmail.com,24,Los Angeles,471.77
Olive369,olive369@yahoo.com,35,Los Angeles,48.21
Ned460,ned460@mail.com,53,New York,206.98
Alice92,alice92@gmail.com,40,New York,300.48
Karen885,karen885@outlook.com,42,New York,209.84
Carol743,carol743@yahoo.com,53,Miami,288.12
Frank702,frank702@yahoo.com,42,Chicago,138.11
Iris505,iris505@yahoo.com,27,Los Angeles,220.16
Ned307,ned307@gmail.com,48,Boston,183.76
Hank739,hank739@mail.com,58,San Diego,310.25
Olive110,olive110@gmail.com,26,Phoenix,474.67
Karen862,karen862@outlook.com,57,Dallas,222.91
Ned836,ned836@yahoo.com,59,Austin,153.72
Tina971,tina971@hotmail.com,62,Houston,160.52
Mona992,mona992@hotmail.com,38,Phoenix,484.04
Hank334,hank334@hotmail.com,42,Phoenix,185.68
Sam205,sam205@yahoo.com,55,New York,342.45
Rose28,rose28@yahoo.com,64,San Diego,222.04
Jack852,jack852@hotmail.com,62,Los Angeles,338.12
Eve649,eve649@outlook.com,37,Houston,331.04
Ned809,ned809@hotmail.com,42,Los Angeles,495.4
Paul597,paul597@mail.com,43,New York,462.13
Ned557,ned557@outlook.com,20,Boston,352.31
Rose609,rose609@gmail.com,58,Miami,59.14
Hank674,hank674@yahoo.com,60,New York,325.26
Bob577,bob577@hotmail.com,59,New York,483.57
Karen989,karen989@gmail.com,45,Los Angeles,53.81
Hank523,hank523@mail.com,65,New York,292.36
Sam227,sam227@hotmail.com,46,New York,234.22
Sam708,sam708@outlook.com,50,Chicago,498.86
Paul108,paul108@gmail.com,36,Dallas,62.45
Eve357,eve357@hotmail.com,37,New York,393.21
